 TIME                    	Q                        	
  +7.8450000000000000E+03	  +3.6804964373510725E+03	
  +7.8460000000000000E+03	  +3.6804606725559634E+03	
  +7.8470000000000000E+03	  +3.6804249132213013E+03	
  +7.8480000000000000E+03	  +3.6803891593446833E+03	
  +7.8490000000000000E+03	  +3.6803534109225734E+03	
  +7.8500000000000000E+03	  +3.6803176679548455E+03	
  +7.8510000000000000E+03	  +3.6802819304423169E+03	
  +7.8520000000000000E+03	  +3.6802461983752173E+03	
  +7.8530000000000000E+03	  +3.6802104717644929E+03	
  +7.8540000000000000E+03	  +3.6801747505982316E+03	
  +7.8550000000000000E+03	  +3.6801390348759646E+03	
  +7.8560000000000000E+03	  +3.6801033246024599E+03	
  +7.8570000000000000E+03	  +3.6800676197772032E+03	
  +7.8580000000000000E+03	  +3.6800319203836634E+03	
  +7.8590000000000000E+03	  +3.6799962264406772E+03	
  +7.8600000000000000E+03	  +3.6799605379349514E+03	
  +7.8610000000000000E+03	  +3.6799248548640717E+03	
  +7.8620000000000000E+03	  +3.6798891772345260E+03	
  +7.8630000000000000E+03	  +3.6798535050406913E+03	
  +7.8640000000000000E+03	  +3.6798178382766491E+03	
  +7.8650000000000000E+03	  +3.6797821769441175E+03	
  +7.8660000000000000E+03	  +3.6797465210444543E+03	
  +7.8670000000000000E+03	  +3.6797108705781252E+03	
  +7.8680000000000000E+03	  +3.6796752255351107E+03	
  +7.8690000000000000E+03	  +3.6796395859215763E+03	
  +7.8700000000000000E+03	  +3.6796039517332015E+03	
  +7.8710000000000000E+03	  +3.6795683229687202E+03	
  +7.8720000000000000E+03	  +3.6795326996333411E+03	
  +7.8730000000000000E+03	  +3.6794970817086869E+03	
  +7.8740000000000000E+03	  +3.6794614692077726E+03	
  +7.8750000000000000E+03	  +3.6794258621251311E+03	
  +7.8760000000000000E+03	  +3.6793902604542109E+03	
  +7.8770000000000000E+03	  +3.6793546642039128E+03	
  +7.8780000000000000E+03	  +3.6793190733677056E+03	
  +7.8790000000000000E+03	  +3.6792834879433758E+03	
  +7.8800000000000000E+03	  +3.6792479079359805E+03	
  +7.8810000000000000E+03	  +3.6792123333262703E+03	
  +7.8820000000000000E+03	  +3.6791767641345946E+03	
  +7.8830000000000000E+03	  +3.6791412003494979E+03	
  +7.8840000000000000E+03	  +3.6791056419637121E+03	
  +7.8850000000000000E+03	  +3.6790700889816853E+03	
  +7.8860000000000000E+03	  +3.6790345414114972E+03	
  +7.8870000000000000E+03	  +3.6789989992375658E+03	
  +7.8880000000000000E+03	  +3.6789634624607970E+03	
  +7.8890000000000000E+03	  +3.6789279310791221E+03	
  +7.8900000000000000E+03	  +3.6788924051009139E+03	
  +7.8910000000000000E+03	  +3.6788568845168634E+03	
  +7.8920000000000000E+03	  +3.6788213693310154E+03	
  +7.8930000000000000E+03	  +3.6787858595320854E+03	
  +7.8940000000000000E+03	  +3.6787503551291088E+03	
  +7.8950000000000000E+03	  +3.6787148561097797E+03	
  +7.8960000000000000E+03	  +3.6786793624807769E+03	
  +7.8970000000000000E+03	  +3.6786438742420823E+03	
  +7.8980000000000000E+03	  +3.6786083913866651E+03	
  +7.8990000000000000E+03	  +3.6785729139167029E+03	
  +7.9000000000000000E+03	  +3.6785374418343413E+03	
  +7.9010000000000000E+03	  +3.6785019751270729E+03	
  +7.9020000000000000E+03	  +3.6784665137967208E+03	
  +7.9030000000000000E+03	  +3.6784310578550771E+03	
  +7.9040000000000000E+03	  +3.6783956072828323E+03	
  +7.9050000000000000E+03	  +3.6783601620858863E+03	
  +7.9060000000000000E+03	  +3.6783247222730843E+03	
  +7.9070000000000000E+03	  +3.6782892878241673E+03	
  +7.9080000000000000E+03	  +3.6782538587440035E+03	
  +7.9090000000000000E+03	  +3.6782184350431289E+03	
  +7.9100000000000000E+03	  +3.6781830167076610E+03	
  +7.9110000000000000E+03	  +3.6781476037410844E+03	
  +7.9120000000000000E+03	  +3.6781121961327344E+03	
  +7.9130000000000000E+03	  +3.6780767938955687E+03	
  +7.9140000000000000E+03	  +3.6780413970263967E+03	
  +7.9150000000000000E+03	  +3.6780060055076892E+03	
  +7.9160000000000000E+03	  +3.6779706193566940E+03	
  +7.9170000000000000E+03	  +3.6779352385655152E+03	
  +7.9180000000000000E+03	  +3.6778998631273098E+03	
  +7.9190000000000000E+03	  +3.6778644930490887E+03	
  +7.9200000000000000E+03	  +3.6778291283296685E+03	
  +7.9210000000000000E+03	  +3.6777937689518894E+03	
  +7.9220000000000000E+03	  +3.6777584149384566E+03	
  +7.9230000000000000E+03	  +3.6777230662635475E+03	
  +7.9240000000000000E+03	  +3.6776877229464458E+03	
  +7.9250000000000000E+03	  +3.6776523849739656E+03	
  +7.9260000000000000E+03	  +3.6776170523496153E+03	
  +7.9270000000000000E+03	  +3.6775817250717996E+03	
  +7.9280000000000000E+03	  +3.6775464031335391E+03	
  +7.9290000000000000E+03	  +3.6775110865426877E+03	
  +7.9300000000000000E+03	  +3.6774757752898699E+03	
  +7.9310000000000000E+03	  +3.6774404693790520E+03	
  +7.9320000000000000E+03	  +3.6774051688021527E+03	
  +7.9330000000000000E+03	  +3.6773698735642397E+03	
  +7.9340000000000000E+03	  +3.6773345836625094E+03	
  +7.9350000000000000E+03	  +3.6772992990919420E+03	
  +7.9360000000000000E+03	  +3.6772640198500608E+03	
  +7.9370000000000000E+03	  +3.6772287459507775E+03	
  +7.9380000000000000E+03	  +3.6771934773697644E+03	
  +7.9390000000000000E+03	  +3.6771582141234794E+03	
  +7.9400000000000000E+03	  +3.6771229562086810E+03	
  +7.9410000000000000E+03	  +3.6770877036115503E+03	
  +7.9420000000000000E+03	  +3.6770524563442300E+03	
  +7.9430000000000000E+03	  +3.6770172143941195E+03	
  +7.9440000000000000E+03	  +3.6769819777717203E+03	
  +7.9450000000000000E+03	  +3.6769467464639383E+03	
  +7.9460000000000000E+03	  +3.6769115204758023E+03	
  +7.9470000000000000E+03	  +3.6768762998098036E+03	
  +7.9480000000000000E+03	  +3.6768410844565701E+03	
  +7.9490000000000000E+03	  +3.6768058744142813E+03	
  +7.9500000000000000E+03	  +3.6767706696884834E+03	
  +7.9510000000000000E+03	  +3.6767354702729581E+03	
  +7.9520000000000000E+03	  +3.6767002761706322E+03	
  +7.9530000000000000E+03	  +3.6766650873765225E+03	
  +7.9540000000000000E+03	  +3.6766299038961783E+03	
  +7.9550000000000000E+03	  +3.6765947257100834E+03	
  +7.9560000000000000E+03	  +3.6765595528349641E+03	
  +7.9570000000000000E+03	  +3.6765243852639414E+03	
  +7.9580000000000000E+03	  +3.6764892229960219E+03	
  +7.9590000000000000E+03	  +3.6764540660272710E+03	
  +7.9600000000000000E+03	  +3.6764189143578142E+03	
  +7.9610000000000000E+03	  +3.6763837679901631E+03	
  +7.9620000000000000E+03	  +3.6763486269180121E+03	
  +7.9630000000000000E+03	  +3.6763134911381580E+03	
  +7.9640000000000000E+03	  +3.6762783606497205E+03	
  +7.9650000000000000E+03	  +3.6762432354583561E+03	
  +7.9660000000000000E+03	  +3.6762081155606647E+03	
  +7.9670000000000000E+03	  +3.6761730009459670E+03	
  +7.9680000000000000E+03	  +3.6761378916254948E+03	
  +7.9690000000000000E+03	  +3.6761027875935292E+03	
  +7.9700000000000000E+03	  +3.6760676888429148E+03	
  +7.9710000000000000E+03	  +3.6760325953792708E+03	
  +7.9720000000000000E+03	  +3.6759975071926697E+03	
  +7.9730000000000000E+03	  +3.6759624242925834E+03	
  +7.9740000000000000E+03	  +3.6759273466744085E+03	
  +7.9750000000000000E+03	  +3.6758922743369890E+03	
  +7.9760000000000000E+03	  +3.6758572072728161E+03	
  +7.9770000000000000E+03	  +3.6758221454855452E+03	
  +7.9780000000000000E+03	  +3.6757870889743645E+03	
  +7.9790000000000000E+03	  +3.6757520377303017E+03	
  +7.9800000000000000E+03	  +3.6757169917674432E+03	
  +7.9810000000000000E+03	  +3.6756819510700298E+03	
